name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Buchnera aphidicola	9	species	619958	13	3	0.0
Pelobacter carbinolicus	19	species	3665893	2	1	0.0
Myxococcus fulvus	33	species	10026214	1	0	0.0
Myxococcus xanthus	34	species	9139763	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	1	0	0.0
Archangium gephyra	48	species	12489432	1	0	0.0
Cyclobacterium marinum	104	species	6221273	3	0	0.0
Runella slithyformis	106	species	6919729	1	0	0.0
Leptospira interrogans	173	species	5395453	1	0	0.0
Leptospira borgpetersenii	174	species	3948532	1	0	0.0
Leptospirillum	179	genus	0	5	0	0.0
Azospirillum brasilense	192	species	13978806	2	1	0.0
Azospirillum lipoferum	193	species	7223069	2	0	0.0
Helicobacter pylori	210	species	2044699	1	0	0.0
Helicobacter cinaedi	213	species	2170766	2	0	0.0
Helicobacter felis	214	species	1672681	4	0	0.0
Helicobacter mustelae	217	species	1578097	2	0	0.0
Francisella tularensis	263	species	2777166	2	0	0.0
Paracoccus denitrificans	266	species	5236194	4	2	0.0
Comamonas testosteroni	285	species	5695231	1	0	0.0
Pseudomonas aeruginosa	287	species	22457305	2	2	0.0
Pseudomonas fluorescens	294	species	14826544	4	0	0.0
Pseudomonas fragi	296	species	5101809	3	0	0.0
Pseudomonas mendocina	300	species	5293211	2	0	0.0
Pseudomonas putida	303	species	6888188	3	0	0.0
Ralstonia solanacearum	305	species	11186335	5	2	0.0
Pseudomonas stutzeri	316	species	7755802	3	0	0.0
Ralstonia pickettii	329	species	6378979	18	12	0.0
Pseudomonas pseudoalcaligenes	330	species	4691662	2	0	0.0
Xanthomonas campestris	339	species	7063896	2	0	0.0
Xanthomonas translucens	343	species	4638247	2	0	0.0
Xanthomonas citri	346	species	17318955	2	0	0.0
Xanthomonas oryzae	347	species	17545599	2	0	0.0
Agrobacterium tumefaciens	358	species	9211775	2	0	0.0
Bradyrhizobium japonicum	375	species	9215796	2	0	0.0
Sinorhizobium meliloti	382	species	6962835	4	3	0.0
Methylomonas methanica	421	species	5051681	5	0	0.0
Acetobacter pasteurianus	438	species	3216979	1	0	0.0
Gluconobacter oxydans	442	species	3306867	10	0	0.0
Legionella pneumophila	446	species	15688009	1	0	0.0
Legionella longbeachae	450	species	4149158	1	0	0.0
Acinetobacter baumannii	470	species	11595472	3	1	0.0
Moraxella catarrhalis	480	species	2846413	2	2	0.0
Neisseria gonorrhoeae	485	species	4967431	3	0	0.0
Neisseria lactamica	486	species	2220606	3	0	0.0
Neisseria meningitidis	487	species	8508873	3	0	0.0
Neisseria elongata	495	species	2256647	3	0	0.0
Thermomicrobium roseum	500	species	2920744	1	0	0.0
Kingella kingae	504	species	2140065	1	1	0.0
Bordetella bronchiseptica	518	species	6491145	1	0	0.0
Bordetella parapertussis	519	species	4815611	1	0	0.0
Bordetella pertussis	520	species	48698463	3	0	0.0
Chromobacterium violaceum	536	species	4751080	1	0	0.0
Pantoea agglomerans	549	species	9924054	1	0	0.0
Enterobacter cloacae	550	species	10083180	1	0	0.0
Pantoea ananatis	553	species	4842757	1	0	0.0
Escherichia coli	562	species	12319210	57	2	2.81097e-11
Escherichia fergusonii	564	species	4643861	52	0	2.16297e-18
Serratia marcescens	615	species	8465231	1	0	0.0
Shigella boydii	621	species	4698475	50	0	8.47836e-19
Shigella dysenteriae	622	species	4560911	30	2	0.0
Shigella flexneri	623	species	4763519	52	0	1.18559e-18
Shigella sonnei	624	species	6798914	53	0	2.72515e-15
Vibrio cholerae	666	species	6170861	1	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	4378647	19	3	0.0
Haemophilus parainfluenzae	729	species	2086875	16	0	0.0
Aggregatibacter aphrophilus	732	species	3520359	16	0	0.0
Anaplasma centrale	769	species	1206806	1	0	0.0
Anaplasma marginale	770	species	1200061	1	0	0.0
Coxiella burnetii	777	species	2076694	1	1	0.0
Rickettsia	780	genus	0	2	0	0.0
Rickettsia conorii	781	species	1268755	10	0	0.0
Rickettsia prowazekii	782	species	1111249	10	0	0.0
Rickettsia rickettsii	783	species	1265141	4	0	0.0
Orientia tsutsugamushi	784	species	2068019	1	0	0.0
Rickettsia typhi	785	species	1112275	10	0	0.0
Rickettsia akari	786	species	1231060	4	0	0.0
Rickettsia australis	787	species	1323280	7	0	0.0
Rickettsia canadensis	788	species	1155000	39	29	0.0
Bartonella quintana	803	species	1584515	1	0	0.0
Chlamydia trachomatis	813	species	1376168	1	1	0.0
Bacteroides	816	genus	0	2	0	0.0
Bacteroides fragilis	817	species	7824806	389	3	0.0
Bacteroides thetaiotaomicron	818	species	6390542	663	14	0.0
Bacteroides vulgatus	821	species	5163189	499	2	0.0
Parabacteroides distasonis	823	species	4811379	1067	140	0.0
