name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	26	1	0.0
Buchnera aphidicola	9	species	619958	23	10	0.0
Cellulomonas gilvus	11	species	3526441	1	0	0.0
Dictyoglomus thermophilum	14	species	1959987	1	0	0.0
Pelobacter carbinolicus	19	species	3665893	1	1	0.0
Shewanella putrefaciens	24	species	4749735	1	0	0.0
Myxococcus fulvus	33	species	10026214	5	0	0.0
Myxococcus xanthus	34	species	9139763	5	0	0.0
Stigmatella aurantiaca	41	species	10260756	5	0	0.0
Archangium gephyra	48	species	12489432	5	0	0.0
Hyphomicrobium	81	genus	0	1	0	0.0
Cyclobacterium marinum	104	species	6221273	6	1	0.0
Runella slithyformis	106	species	6919729	4	0	0.0
Planctopirus limnophila	120	species	5460085	1	0	0.0
Pirellula staleyi	125	species	6196199	1	0	0.0
Methylocystis	133	genus	0	3	0	0.0
Borreliella burgdorferi	139	species	1329613	1	0	0.0
Borrelia hermsii	140	species	1156143	1	0	0.0
Borrelia parkeri	141	species	1030684	1	0	0.0
Borrelia turicatae	142	species	917330	1	0	0.0
Spirochaeta thermophila	154	species	2516433	1	0	0.0
Leptospira interrogans	173	species	5395453	1	0	0.0
Leptospira borgpetersenii	174	species	3948532	1	0	0.0
Azospirillum brasilense	192	species	13978806	23	3	0.0
Azospirillum lipoferum	193	species	7223069	53	0	0.0
Campylobacter coli	195	species	5104439	2	0	0.0
Campylobacter jejuni	197	species	6156435	5	4	0.0
Campylobacter hyointestinalis	198	species	1753331	1	0	0.0
Campylobacter concisus	199	species	1969727	1	0	0.0
Campylobacter curvus	200	species	1971270	1	0	0.0
Campylobacter lari	201	species	1576113	2	0	0.0
Helicobacter pylori	210	species	2044699	1	0	0.0
Helicobacter acinonychis	212	species	1557588	1	0	0.0
Helicobacter cinaedi	213	species	2170766	42	0	0.0
Helicobacter felis	214	species	1672681	3	2	0.0
Helicobacter mustelae	217	species	1578097	42	0	0.0
Brucella	234	genus	0	214	0	0.0
Brucella abortus	235	species	5108028	690	0	0.0
Brucella ovis	236	species	3275590	213	0	0.0
Francisella tularensis	263	species	2777166	1	0	0.0
Paracoccus	265	genus	0	1	0	0.0
Paracoccus denitrificans	266	species	5236194	9933	9744	0.00210039
Xanthobacter autotrophicus	280	species	5625098	15	1	0.0
Comamonas testosteroni	285	species	5695231	31	9	0.0
Pseudomonas aeruginosa	287	species	22457305	22	15	0.0
Pseudoalteromonas atlantica	288	species	5187005	1	0	0.0
Burkholderia cepacia	292	species	13365495	19	3	0.0
Pseudomonas fluorescens	294	species	14826544	84	12	0.0
Pseudomonas fragi	296	species	5101809	64	1	0.0
Pseudomonas mendocina	300	species	5293211	25	1	0.0
Pseudomonas putida	303	species	6888188	64	1	0.0
